County,Precinct,First Expression,Final Expression,SDE
,Dubuque_16,127,127,1.3333
,Dubuque_18,217,217,1.8666
,Dubuque_09a,228,228,2.1333
,Dubuque_43,152,153,2.3999
,Dubuque_01,254,243,2.6666
,Dubuque_13,104,104,1.8666
,Dubuque_05,196,193,2.9333
,Dubuque_33,101,98,1.8666
,Dubuque_06,181,181,2.3999
,Total,3255,3189,44.7994
Emmet,EL-LN-Dolliver,4,4,0.1143
,HL-TM-Wallingford,15,15,0.2286
,Estherville Ward 1,37,37,0.5715
,AG-IL-Armstrong,22,22,0.4572
,Estherville Ward 2,27,27,0.5715
,Estherville Ward 4,34,34,0.4572
,Estherville Ward 5,22,21,0.3429
,Estherville Ward 3,50,48,0.6858
,Total,211,208,3.429
Fayette,FAIRFIELD-PUTNAM TWP,19,18,0.48
,ILLYRIA TWP,22,22,0.36
,FAIRBANK INC,21,21,0.36
,ORAN TWP,15,15,0.24
,WEST UNION - WARD 2,19,15,0.36
,CLERMONT TWP,27,26,0.48
,OELWEIN - WARD 4,106,104,1.32
,OELWEIN - WARD 2,36,36,0.84
,SCOTT TWP,5,5,0.12
,EDEN TWP,15,15,0.24
,HARLAN TWP,4,4,0.48
,PLEASANT VALLEY TWP,40,40,0.6
,WEST UNION - WARD 3,31,30,0.48
,WEST UNION - WARD 1,39,39,0.6
,WESTFIELD TWP,67,67,0.84
,DOVER TWP,14,14,0.24
,OELWEIN - WARD 3,52,52,1.08
,BANKS-FREMONT TWP,25,25,0.48
,JEFFERSON TWP,26,26,0.36
,Total,583,574,9.96
Floyd,St Charles-Riverton,88,88,1.111
,Floyd-Cedar-Niles,58,58,0.8888
,Charles City Corp/CC3,95,94,1.6665
,Charles City Corp/CC1,97,97,1.5554
,Scott-Union-Pleasant Grove,28,25,0.5555
,Rock Grove-Rudd,79,79,1.4443
,Total,445,441,7.2215
Franklin,HAMPTON 4,38,38,0.6111
,HAMPTON 3,32,32,0.6666
,OAKLAND/ MORGAN,15,15,0.2778
,WEST MOTT TOWNSHIP,15,15,0.2223
,RICHLAND/ ROSS/ WEST FORK,40,38,0.8889
,HAMILTON/ LEE/ REEVE,22,22,0.2778
,HAMPTON 2,37,37,0.5555
,GRANT/ OSCEOLA,6,6,0.2223
,MARION,12,12,0.2779
,GENEVA/ INGHAM/ EAST MOTT,14,14,0.3334
,Total,231,229,4.3336
Fremont,Sidney,79,79,0.9
,Green Riverside Scott,40,40,0.825
,Farragut,40,40,0.6
,Riverton,2,2,0.15
,Total,161,161,2.475
Greene,North Precinct,47,46,0.72
,Jefferson 1 Precinct,55,55,0.96
,Jefferson 3 Precinct,84,83,1.44
,East Precinct,42,42,0.84
,West Precinct,29,27,0.48
,Jefferson 2 Precinct,47,47,0.96
,Central Precinct,58,58,0.6
,Total,362,358,6.0
Grundy,PRECINCT 6,77,76,1.3
,PRECINCT 1,42,42,0.9
,PRECINCT 3,16,15,0.4
,PRECINCT 4,23,19,0.3
,PRECINCT 2,27,27,0.3
,Total,185,179,3.2
Guthrie,Purple,89,89,1.3714
,Red,20,20,0.2571
,Brown,26,26,0.5142
,Green,26,26,0.6857
,Blue,101,94,1.3715
,Black,24,24,0.4285
,Total,286,279,4.6284
Hamilton,Webster City 3,62,62,1.2
,Webster City 1,120,120,1.7
,PCT 3 CLEAR LAKE HAMILTON MARION WEBSTER,71,71,1.1
,Webster City 2,117,117,2.0
,PCT 5 LINCOLN ROSE GROVE SCOTT,25,25,0.6
,PCT 1 CASS FREEDOM FREMONT INDEPENDENCE,38,38,0.7
,PCT 4 LYON ELLSWORTH,81,81,1.2
,PCT 2 BLAIRSBURG LIBERTY WILLIAMS,29,27,0.5
,Total,543,541,9.0
Hancock,Precinct 06,86,86,1.7
,Precinct 01,52,52,0.6
,Precinct 10,8,8,0.2
,Precinct 03,7,7,0.2
,Precinct 04,45,42,1.0
,Precinct 09,21,21,0.4
,Precinct 08,15,13,0.2
,Precinct 02,7,7,0.2
,Precinct 07,25,25,0.4
,Total,266,261,4.9
Hardin,Concord/Sherman/Grant/Tip,76,76,1.152
,Eldora City,77,77,1.224
,Hardin/Ellis/Jackson,62,62,0.864
,Etna/Clay,59,59,1.224
,Eldora/Pleasant/Prov/Unio,37,37,0.864
,Alden/Buckeye,37,37,0.72
,Total,348,348,6.048
Harrison,Precinct #13-Persia,26,26,0.3732
,Precinct #10 - Logan,34,34,0.7467
,Precinct #11 - St. John,51,49,0.6534
,Precinct #04-Mondamin,19,19,0.3733
