County,Precinct,First Expression,Final Expression,SDE
,Pilot/Troy/York,7,8,0.1000
,Hartford I/Sumner,2,0,0
,Hartford II/Lincoln,4,0,0
,Total,76,38,0.4000
Jackson,Jackson 01,28,30,0.5143
,Jackson 02,1,0,0
,Jackson 08,2,0,0
,Jackson 05,4,4,0.1714
,Jackson 16,15,18,0.3429
,Jackson 11,1,0,0
,Jackson 15,8,8,0.1714
,Jackson 07,17,18,0.3429
,Jackson 06,8,8,0.1714
,Jackson 14,2,0,0
,Jackson 13,2,0,0
,Jackson 12,4,4,0.1714
,Jackson 09,6,0,0
,Total,98,90,1.8857
Jasper,Newton 3-1,8,0,0
,Colfax Ward 1,0,0,0
,Newton 2-2,8,0,0
,Newton 2-1,7,3,0
,Indep/Malaka/Mariposa,13,0,0
,Clear Creek/Poweshiek,13,13,0.1150
,Newton 3-2,4,4,0
,Colfax Ward 3,0,0,0
,Palo Alto,2,0,0
,Mound Prairie/Washington,6,0,0
,Fairview,14,17,0.3450
,Newton 4-1,27,32,0.3450
,Newton 1-2,4,0,0
,Newton 1-1,9,14,0.2300
,Des Moines,7,0,0
,HG/K/RC/BV/RL,22,24,0.3450
,Total,144,107,1.3800
Jefferson,Fairfield 1st Ward,28,0,0
,Fairfield 3rd Ward,0,0,0
,Blackhawk-Polk-Packwood,0,0,0
,Center-Cedar-Maharishi Vedic City,11,0,0
,Fairfield 4th Ward,18,0,0
,Fairfield 5th Ward,8,0,0
,Fairfield 2nd Ward,32,85,0.4364
,Des Moines-Liberty-Libertyville,4,0,0
,Total,101,85,0.4364
Johnson,IOWA CITY 21,23,1,0
,IOWA CITY 18,99,155,0.8100
,GRAHAM TOWNSHIP,13,0,0.4050
,HARDIN TOWNSHIP,13,30,0.4050
,NEWPORT TOWNSHIP,89,103,0.8100
,PENN/ EAST LUCAS NORTH,112,148,1.2150
,UNION TOWNSHIP,11,0,0
,CEDAR TOWNSHIP,15,22,0.4050
,BIG GROVE TOWNSHIP,34,39,0.8100
,JEFFERSON EAST/SHUEYVILLE,37,51,0.4050
,IOWA CITY 11,24,0,0
,CORALVILLE 01,37,0,0
,IOWA CITY 20,6,0,0
,IOWA CITY 19,5,0,0
,IOWA CITY 03,13,0,0
,IOWA CITY 12/EAST LUCAS SE,16,0,0
,IOWA CITY 05,13,0,0
,IOWA CITY 16,61,0,0
,IOWA CITY 02,76,140,1.2150
,IOWA CITY 09,50,0,0
,CORALVILLE 03,33,43,0.4050
,LIBERTY-PLEASANT VALLEY,11,23,0.4050
,FREMONT-LINCOLN (INCLUDES,18,22,0.4050
,WEST LUCAS TOWNSHIP,7,9,0
,HILLS,4,0,0
,OXFORD TOWNSHIP/OXFORD,21,21,0.4050
,UNIVERSITY HEIGHTS,46,61,0.4050
,SCOTT TWP-WEST BRANCH,18,27,0.4050
,CLEAR CREEK/TIFFIN,26,0,0
,CORALVILLE 02,88,94,0.8100
,NORTH LIBERTY 03 (PW),24,0,0
,NORTH LIBERTY 01,18,0,0
,IOWA CITY 08,93,114,0.8100
,NORTH LIBERTY 02,16,0,0
,CORALVILLE 06,99,99,0.8100
,CORALVILLE 07,64,74,0.8100
,NORTH LIBERTY 05,19,16,0
,NORTH LIBERTY 04,15,0,0
,IOWA CITY 24,25,0,0
,CORALVILLE 05,29,0,0
,IOWA CITY 15,16,0,0
,IOWA CITY 13,27,0,0
,IOWA CITY 22,71,89,0.4050
,IOWA CITY 14,33,0,0
,IOWA CITY 04,118,158,0.8100
,IOWA CITY 06,71,103,1.2150
,CORALVILLE 04,18,0,0
,IOWA CITY 10/ELSW,16,0,0
,IOWA CITY 01,118,146,1.2150
,IOWA CITY 07,42,0,0
,NL06/MADISON /CCN,48,0,0
,Total,"1,999","1,788",15.7950
Jones,OX-OXFORD,3,7,0.1600
,FV-FAIRVIEW,14,20,0.3200
,ANS-ANAMOSA SOUTH/JACKSON,9,0,0
,GF-GREENFIELD,7,9,0.1600
,RLWS-RICHLAND WASHINGTON,4,8,0.1600
,SGMC-SC GRV/MADISON/CLAY,7,7,0.1600
,MN2-MONTICELLO 2,10,11,0.1600
,MN3-MONTICELLO 3,6,6,0.1600
,MN4-MONTICELLO 4,6,7,0.1600
,CGLW-CASTLE GRV/LOV/WAYN,11,14,0.3200
,MN1-MONTICELLO 1,6,6,0.1600
,ANN-ANAMOSA NORTH/CASS,11,0,0
,ROHA-ROME/HALE,0,0,0
,Total,94,95,1.9200
Keokuk,Lafayette/Clear Creek,8,8,0.1143
,English River/Liberty,4,0,0
,Sigourney 4th Ward,7,13,0.1143
,Sigourney 3rd Ward,5,7,0.1143
,Sigourney 1st Ward,1,0,0
,Jackson,0,0,0
,Warren,0,0,0
,Richland,0,0,0
,Sigourney/Plank/Van Buren,0,0,0
,Adams,3,0,0
,Sigourney 2nd Ward,0,0,0
,Benton/Steady Run,10,10,0.1143
,Prairie,1,1,0
,What Cheer/Washington,1,0,0
,Total,40,39,0.4572
Kossuth,AL3,8,8,0.1778
,AL1,10,10,0.1778
,HB- LY- LN- SF,0,0,0
,BT- FT- UN,8,9,0.1778
,IV- PC,0,0,0
,LC,0,0,0
,UN,0,0,0
,AL4,9,13,0.1778
,GF- WM,3,3,0.0889
,EG- GT- HS- SW,2,2,0.0889
,PC,3,3,0
,CR- IV- RV,6,9,0.0889
,AL2,13,16,0.2667
,GW- SN,0,0,0.0889
,LV- SM,7,8,0.0889
,GM- RM,6,6,0.0889
,BF- PT,3,0,0
,Total,78,87,1.5113
Lee,Fort Madison 5,0,0,0
,Keokuk 2,0,0,0
,Montrose,12,12,0.1400
,Franklin/Cedar/Marion/Harison,10,15,0.2800
,Fort Madison 2,3,0,0
,Charleston/DSM/Van Buren,5,0,0
,Keokuk 1,0,0,0
,Keokuk 3,1,0,0
,Jefferson,0,0,0
,Keokuk 4,0,0,0
,Keokuk 5,2,0,0
,Keokuk 7,7,13,0.1400
