County,Precinct,First Expression,Final Expression,SDE
,Benton- Franklin Twp/Wiota,0,0,0
,Bear Grove- Cass Twp/Lewis,0,0,0
,Massena Twp/Massena City,0,0,0
,Atlantic 4,0,0,0
,Grant- Lincoln Twp/Anita,0,0,0
,Union Twp/Cumberland,0,0,0
,Atlantic 1,2,0,0
,Total,4,2,0
Cedar,WEST BRANCH 1,0,0,0
,CASS/CENTER/IOWA/ROCHESTER,0,0,0
,FARMINGTON/SUGAR CREEK,0,0,0
,MASSILLON/SPRINGFIELD,2,0,0
,LINN/PIONEER,0,0,0
,GOWER/SPRINGDALE,2,0,0
,FREMONT/RED OAK,0,0,0
,DAYTON/FAIRFIELD,0,0,0
,TIPTON 3,1,0,0
,TIPTON 2,0,0,0
,Total,5,0,0
Cerro Gordo,Clear Lake - Grant - Union,0,0,0
,Mason City W-1 P-1,0,0,0
,Mason City W-3 P-1,0,1,0
,Mason City W-4 P-2,0,0,0
,Mason City W-3 P-3,0,0,0
,Clear Lake - Ward 2,0,0,0
,Clear Lake - Ward 1,0,0,0
,Geneseo Twp Pct,0,1,0
,Mason City W-3 P-2,0,0,0
,Mason City W-4 P-3,0,0,0
,Clear Lake - Ward 3,0,0,0
,Mason City W-1 P-2,0,1,0
,Grimes - Thornton Pct,0,0,0
,Mason City W-2 P-2,3,0,0
,Mason City W-1 P-3,1,1,0
,Portland - Owen - Dougherty,0,0,0
,Lime Creek / Mason N Twps,1,3,0
,Lake / Lincoln Twps Pct,0,0,0
,Mt Vernon - Pl Valley Twps,0,3,0
,Total,5,10,0
Cherokee,#1 Aurelia,0,0,0
,#3 Quimby,1,1,0
,#5 Cherokee Ward 1,0,0,0
,Total,1,1,0
Chickasaw,New Hampton Rural,0,0,0
,Washington 1 Township,0,0,0
,Jacksonville-Utica,0,0,0
,Chickasaw,1,0,0
,Bradford,0,0,0
,Dresden-Fredericksburg,0,0,0
,Stapleton,0,0,0
,Deerfield-Washington 2,1,0,0
,City of New Hampton Ward One,0,0,0
,City of New Hampton Ward Two,0,0,0
,Total,2,0,0
Clarke,Woodburn Precinct,0,0,0
,Middle Precinct,0,0,0
,Osceola 1st Ward Precinct,0,0,0
,North East Precinct,0,0,0
,Osceola 3rd Ward Precinct,0,0,0
,Osceola 2nd Ward Precinct,0,0,0
,Total,0,0,0
Clay,Spencer Ward 3,0,0,0
,Spencer Ward 5,0,0,0
,Spencer Ward 4,0,0,0
,Lincoln-Clay,0,0,0
,Spencer Ward 1,0,1,0
,Spencer Ward 2,0,0,0
,Garfield-Herdland,0,0,0
,Logan-Gillett Grove,0,0,0
,Summit-Riverton-Sioux-Meadow,0,0,0
,Total,0,1,0
Clayton,BUENA VISTA,2,2,0
,COX CREEK-SPERRY,3,1,0
,READ,1,1,0
,LODOMILLO,0,0,0
,BOARDMAN-HIGHLAND,0,0,0
,MENDON,0,4,0
,JEFFERSON-MILLVILLE,0,0,0
,CASS,1,0,0
,ELK-MALLORY-VOLGA,0,0,0
,GIARD-LUANA-MONONA,0,3,0
,FARMERSBURG-WAGNER,0,0,0
,Total,7,11,0
Clinton,ORANGE GRAND MOUND,0,0,0
,SPRING ROCK WHEATLAND,0,0,0
,CLINTON 4-2,0,0,0
,CLINTON 3-2,0,0,0
,WELTON WASHINGTON WELTON,0,1,0
,CLINTON 1-2,3,0,0
,CENTER TWP,0,0,0
,CLINTON 2-2,1,0,0
,CLINTON 3-1,0,0,0
,LIBERTY TORONTO,0,0,0
,WATERFORD CHARLOTTE,1,2,0
,SHARON LOST NATION,0,0,0
,LOW MOOR,0,0,0
,EDEN CAMANCHE TWP,1,0,0
,OLIVE GRANT CALAMUS,2,0,0
,DEEP CREEK GOOSE LAKE,0,0,0
,BLOOMFIELD BROOKFIELD DEL,2,2,0
,CLINTON 1-1,0,1,0
,CLINTON 4-1,0,0,0
,CAMANCHE 2,0,0,0
,CLINTON 2-1,1,0,0
,DEWITT 1,3,0,0
,CAMANCHE 1,1,0,0
,DEWITT 2,0,4,0
,Total,15,10,0
Crawford,SRK,0,0,0
,Southeast,0,0,0
,Denison Ward 1,0,0,0
,Denison Ward 3-Goodrich Twp,0,0,0
,Northeast,3,0,0
,Total,3,0,0
Dallas,WEST DES MOINES 221,0,0,0
,WEST DES MOINES 225,9,0,0
,WEST DES MOINES 223,0,0,0
,CLIVE 5,0,0,0
,DESOTO,0,0,0
,WAUKEE 4,0,0,0
,SPRING VALLEY / DALLAS,0,0,0
,UNION,0,0,0
,WEST DES MOINES 224,0,0,0
,PERRY 2,5,0,0
,URBANDALE 15,0,4,0
,LINCOLN /WASHINGTON /LINN,0,0,0
,URBANDALE 14,0,0,0
,WAUKEE 5,0,0,0
,ADEL 1,0,0,0
,ADAMS,0,0,0
,BEAVER / DES MOINES,0,0,0
,URBANDALE 13,0,0,0
,ADEL 2,0,0,0
,WEST DES MOINES 222,0,0,0
,CLIVE 6,0,0,0
,WAUKEE 1,0,0,0
,WEST DES MOINES 226,0,0,0
,WEST DES MOINES 321,0,0,0
,PERRY 1,0,0,0
,VAN METER,2,0,0
,WAUKEE 6,0,5,0
,WAUKEE 3,3,0,0
,WAUKEE 2,4,0,0
,Total,23,9,0
Davis,Bloomfield Ward 1,0,0,0
,Bloomfield Ward 2,0,0,0
,Central,0,0,0
,Southwest,0,0,0
,Northwest,0,0,0
,Southeast,0,0,0
,Northeast,0,0,0
,Total,0,0,0
Decatur,GG/HP/WE/Garden Grove/LeRoy,0,0,0
,BL/FA/Lamoni,1,1,0
,FR/LC/Van Wert/Weldon,0,0,0
,GR/RL/Grand River,0,0,0
,BU/HA/MO/NB/Davis City/Pleasanton,0,0,0
,Total,1,1,0
Delaware,South Fork/Union,0,0,0
