County,Precinct,First Expression,Final Expression,SDE
,PRECINCT 2,5,5,0.1000
,PRECINCT 4,5,6,0.1000
,Total,22,11,0.2000
Guthrie,Black,9,9,0.1714
,Red,4,5,0.0857
,Purple,18,18,0.2571
,Blue,16,20,0.3429
,Brown,5,5,0.0857
,Green,3,4,0.0857
,Total,55,61,1.0285
Hamilton,PCT 1 CASS FREEDOM FREMONT INDEPENDENCE,10,10,0.2000
,PCT 2 BLAIRSBURG LIBERTY WILLIAMS,12,13,0.2000
,PCT 4 LYON ELLSWORTH,14,14,0.2000
,Webster City 3,9,0,0
,Webster City 2,16,19,0.3000
,Webster City 1,20,21,0.3000
,PCT 3 CLEAR LAKE HAMILTON MARION WEBSTER,14,16,0.3000
,PCT 5 LINCOLN ROSE GROVE SCOTT,8,8,0.2000
,Total,103,101,1.7000
Hancock,Precinct 04,4,0,0
,Precinct 02,2,3,0.1000
,Precinct 08,5,5,0.1000
,Precinct 03,0,0,0
,Precinct 06,8,0,0
,Precinct 10,1,2,0
,Precinct 07,4,5,0.1000
,Precinct 09,4,5,0.1000
,Precinct 01,1,0,0
,Total,29,20,0.4000
Hardin,Eldora City,17,17,0.2880
,Alden/Buckeye,0,0,0
,Etna/Clay,9,9,0.2160
,Iowa Falls #1,20,23,0.2880
,Concord/Sherman/Grant/Tip,11,14,0.2160
,Eldora/Pleasant/Prov/Unio,1,0,0
,Hardin/Ellis/Jackson,11,19,0.2160
,Total,69,82,1.2240
Harrison,Precinct #08-Modale,0,0,0
,Precinct #01-Little Sioux,0,0,0
,Precinct #06-Boyer/Lincoln,2,0,0
,Precinct #05-Magnolia,5,0,0
,Precinct #13-Persia,5,5,0.0933
,Precinct #03-Dunlap,5,0,0
,Precinct #11 - St. John,9,13,0.1867
,Precinct #02-Pisgah,2,2,0
,Precinct #10 - Logan,7,10,0.1867
,Precinct #04-Mondamin,1,0,0
,Total,36,30,0.4667
Henry,Southwest Precinct,10,13,0.1333
,Mt. Pleasant Ward 1,25,28,0.4667
,Northeast Precinct,5,0,0
,Northwest Precinct,2,0,0
,Mt. Pleasant Ward 2,13,13,0.2000
,Central Precinct,17,18,0.2000
,Mt. Pleasant Ward 3,14,14,0.2000
,Total,86,86,1.2000
Howard,Albion/Forest City,1,0,0
,Cresco 2,8,13,0.1429
,Afton/Howard/Paris,0,0,0
,Jamestown/Oakdale,1,0,0
,Cresco 3,6,0,0
,Saratoga/Howard Ctr/Chest,0,0,0
,New Oregon,2,0,0
,Vernon Springs,6,6,0.1429
,Total,24,19,0.2858
Humboldt,Humboldt 2-Beaver-South Norway,10,11,0.1778
,Dakota City-Grove,2,0,0
,Delana-Wacousta-North Rutland,0,0,0
,Humboldt 3-South Rutland,9,10,0.1778
,North Lake-East Vernon,0,0,0
,Humboldt 1-Corinth-South Weaver,2,0,0
,South Lake-North Norway,0,0,0
,Total,23,21,0.3556
Ida,City of Holstein,4,0,0
,Ida Grove Ward 1,0,0,0
,Ida Grove Ward 3,0,0,0
,Ida Grove Ward 2,0,0,0
,City of Arthur,2,0,0
,City of Battle Creek & Grant Township,3,0,0
,Total,9,0,0
Iowa,English II,10,11,0.1000
,Honey Creek/Marengo Rural,3,5,0.1000
,Dayton/English I,4,4,0.1000
,Lenox/Iowa,35,42,0.5000
,Williamsburg,35,43,0.7000
,Marengo City,16,16,0.3000
,Fillmore/Greene,12,13,0.2000
,Hilton/Washington,12,16,0.2000
,Pilot/Troy/York,9,10,0.2000
,Hartford I/Sumner,3,4,0.1000
,Hartford II/Lincoln,6,6,0.1000
,Total,145,170,2.6000
Jackson,Jackson 01,19,23,0.3429
,Jackson 02,7,10,0.1714
,Jackson 08,0,0,0
,Jackson 05,1,0,0
,Jackson 16,2,0,0
,Jackson 11,0,0,0
,Jackson 15,13,15,0.1714
,Jackson 07,12,18,0.1714
,Jackson 06,6,0,0
,Jackson 14,10,10,0.1714
,Jackson 13,8,9,0.1714
,Jackson 12,0,0,0
,Jackson 09,9,9,0.1714
,Total,87,94,1.3713
Jasper,Newton 3-1,12,0,0
,Colfax Ward 1,1,0,0
,Newton 2-2,27,31,0.3450
,Newton 2-1,16,18,0.3450
,Indep/Malaka/Mariposa,12,18,0.2300
,Clear Creek/Poweshiek,13,13,0.1150
,Newton 3-2,7,0,0
,Colfax Ward 3,2,0,0
,Palo Alto,7,8,0.1150
,Mound Prairie/Washington,11,14,0.2300
,Fairview,2,0,0
,Newton 4-1,22,25,0.3450
,Newton 1-2,8,10,0.2300
,Newton 1-1,6,0,0
,Des Moines,18,18,0.3450
,HG/K/RC/BV/RL,22,23,0.3450
,Total,186,178,2.6450
Jefferson,Fairfield 1st Ward,69,98,0.6545
,Fairfield 3rd Ward,15,19,0.2182
,Blackhawk-Polk-Packwood,7,9,0
,Center-Cedar-Maharishi Vedic City,69,85,0.6545
,Fairfield 4th Ward,49,70,0.4364
,Fairfield 5th Ward,45,54,0.4364
,Fairfield 2nd Ward,85,112,0.6545
,Des Moines-Liberty-Libertyville,2,0,0
,Total,341,447,3.0545
Johnson,IOWA CITY 21,238,269,1.6200
,IOWA CITY 18,293,331,2.0250
,GRAHAM TOWNSHIP,8,0,0
,HARDIN TOWNSHIP,14,25,0
,NEWPORT TOWNSHIP,81,117,0.8100
,PENN/ EAST LUCAS NORTH,171,243,1.6200
,UNION TOWNSHIP,26,40,0.4050
,CEDAR TOWNSHIP,12,0,0
,BIG GROVE TOWNSHIP,39,0,0
,JEFFERSON EAST/SHUEYVILLE,45,58,0.8100
,IOWA CITY 11,127,149,0.8100
,CORALVILLE 01,150,169,1.2150
,IOWA CITY 20,160,176,1.2150
,IOWA CITY 19,101,120,1.2150
,IOWA CITY 03,106,130,1.2150
,IOWA CITY 12/EAST LUCAS SE,103,126,1.2150
,IOWA CITY 05,209,232,1.2150
,IOWA CITY 16,183,214,1.6200
,IOWA CITY 02,112,131,1.2150
,IOWA CITY 09,119,140,1.2150
,CORALVILLE 03,45,46,0.4050
,LIBERTY-PLEASANT VALLEY,10,0,0
,FREMONT-LINCOLN (INCLUDES,18,24,0.4050
,WEST LUCAS TOWNSHIP,14,23,0.4050
,HILLS,12,0,0
,OXFORD TOWNSHIP/OXFORD,19,0,0
,UNIVERSITY HEIGHTS,94,96,0.4050
,SCOTT TWP-WEST BRANCH,39,49,0.4050
,CLEAR CREEK/TIFFIN,67,81,0.8100
,CORALVILLE 02,103,111,0.8100
,NORTH LIBERTY 03 (PW),90,104,0.8100
,NORTH LIBERTY 01,67,71,0.8100
,IOWA CITY 08,147,171,1.2150
,NORTH LIBERTY 02,68,79,0.8100
,CORALVILLE 06,127,127,0.8100
,CORALVILLE 07,116,123,1.2150
,NORTH LIBERTY 05,58,75,0.8100
,NORTH LIBERTY 04,62,68,0.8100
,IOWA CITY 24,198,237,2.0250
,CORALVILLE 05,83,99,0.8100
,IOWA CITY 15,73,79,0.8100
,IOWA CITY 13,106,147,1.2150
,IOWA CITY 22,150,166,1.2150
,IOWA CITY 14,156,183,1.6200
,IOWA CITY 04,214,231,1.2150
,IOWA CITY 06,188,220,2.0250
,CORALVILLE 04,76,102,0.8100
,IOWA CITY 10/ELSW,74,92,0.8100
,IOWA CITY 01,229,247,1.6200
,IOWA CITY 07,101,127,0.8100
,NL06/MADISON /CCN,93,105,1.6200
,Total,"5,194","5,953",46.9800
Jones,OX-OXFORD,4,1,0
,FV-FAIRVIEW,13,16,0.3200
,ANS-ANAMOSA SOUTH/JACKSON,15,18,0.3200
,GF-GREENFIELD,0,0,0
,RLWS-RICHLAND WASHINGTON,1,0,0
,SGMC-SC GRV/MADISON/CLAY,2,0,0
,MN2-MONTICELLO 2,9,10,0.1600
,MN3-MONTICELLO 3,4,0,0
,MN4-MONTICELLO 4,0,0,0
,CGLW-CASTLE GRV/LOV/WAYN,9,0,0
,MN1-MONTICELLO 1,1,0,0
